Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108712328;1582108712328;0;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1582108712329;1582108712328;1;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;1;0;1;127.0.0.1;0;1370;0;0;0;1582108713706;1582108712328;1378;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108713706;1582108712328;1378;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;2;0;0;0.0.0.0;0;0;0;0;0;1582108713707;1582108712328;1379;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;2;0;1;127.0.0.1;0;1367;0;0;0;1582108715076;1582108712328;2748;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108715076;1582108712328;2748;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;3;0;0;0.0.0.0;0;0;0;0;0;1582108715077;1582108712328;2749;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;3;0;1;127.0.0.1;0;1386;0;0;0;1582108716465;1582108712328;4137;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108716465;1582108712328;4137;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;4;0;0;0.0.0.0;0;0;0;0;0;1582108716466;1582108712328;4138;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;4;0;1;127.0.0.1;0;1390;0;0;0;1582108717858;1582108712328;5530;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108717858;1582108712328;5530;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;5;0;0;0.0.0.0;0;0;0;0;0;1582108717859;1582108712328;5531;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;5;0;1;127.0.0.1;0;1365;0;0;0;1582108719225;1582108712328;6897;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108719225;1582108712328;6897;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;6;0;0;0.0.0.0;0;0;0;0;0;1582108719225;1582108712328;6897;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;6;0;1;127.0.0.1;0;1365;0;0;0;1582108720593;1582108712328;8265;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108720593;1582108712328;8265;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;7;0;0;0.0.0.0;0;0;0;0;0;1582108720594;1582108712328;8266;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;7;0;1;127.0.0.1;0;1388;0;0;0;1582108721982;1582108712328;9654;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108721983;1582108712328;9655;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;8;0;0;0.0.0.0;0;0;0;0;0;1582108721983;1582108712328;9655;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;8;0;1;127.0.0.1;0;1364;0;0;0;1582108723350;1582108712328;11022;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108723350;1582108712328;11022;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;9;0;0;0.0.0.0;0;0;0;0;0;1582108723350;1582108712328;11022;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;9;0;1;127.0.0.1;0;1365;0;0;0;1582108724718;1582108712328;12390;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108724718;1582108712328;12390;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;10;0;0;0.0.0.0;0;0;0;0;0;1582108724718;1582108712328;12390;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;10;0;1;127.0.0.1;0;1364;0;0;0;1582108726084;1582108712328;13756;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108726085;1582108712328;13757;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;11;0;0;0.0.0.0;0;0;0;0;0;1582108726085;1582108712328;13757;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;11;0;1;127.0.0.1;0;1394;0;0;0;1582108727481;1582108712328;15153;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108727481;1582108712328;15153;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;12;0;0;0.0.0.0;0;0;0;0;0;1582108727481;1582108712328;15153;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;12;0;1;127.0.0.1;0;1366;0;0;0;1582108728849;1582108712328;16521;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108728850;1582108712328;16522;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;13;0;0;0.0.0.0;0;0;0;0;0;1582108728850;1582108712328;16522;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;13;0;1;127.0.0.1;0;1365;0;0;0;1582108730218;1582108712328;17890;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108730218;1582108712328;17890;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;14;0;0;0.0.0.0;0;0;0;0;0;1582108730218;1582108712328;17890;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;14;0;1;127.0.0.1;0;1389;0;0;0;1582108731609;1582108712328;19281;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108731609;1582108712328;19281;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;15;0;0;0.0.0.0;0;0;0;0;0;1582108731609;1582108712328;19281;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;15;0;1;127.0.0.1;0;1387;0;0;0;1582108732998;1582108712328;20670;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108732999;1582108712328;20671;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;16;0;0;0.0.0.0;0;0;0;0;0;1582108732999;1582108712328;20671;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;16;0;1;127.0.0.1;0;1375;0;0;0;1582108734377;1582108712328;22049;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108734377;1582108712328;22049;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;17;0;0;0.0.0.0;0;0;0;0;0;1582108734377;1582108712328;22049;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;17;0;1;127.0.0.1;0;1364;0;0;0;1582108735743;1582108712328;23415;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108735743;1582108712328;23415;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;18;0;0;0.0.0.0;0;0;0;0;0;1582108735743;1582108712328;23415;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;18;0;1;127.0.0.1;0;1368;0;0;0;1582108737114;1582108712328;24786;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108737114;1582108712328;24786;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;19;0;0;0.0.0.0;0;0;0;0;0;1582108737114;1582108712328;24786;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;19;0;1;127.0.0.1;0;1361;0;0;0;1582108738477;1582108712328;26149;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108738478;1582108712328;26150;
0;0;0.0.0.0;0;56906;1384937849;347;985;0;20;0;0;0.0.0.0;0;0;0;0;0;1582108738478;1582108712328;26150;
0;15;127.0.0.1;0;56906;1384937849;347;985;5;20;0;1;127.0.0.1;0;1365;0;0;0;1582108739845;1582108712328;27517;
0;-1;0.0.0.0.;0;56906;1384937849;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108739845;1582108712328;27517;
